tag,status,best_pt,run_output_root,best_precision,best_precision_epoch,best_recall,best_recall_epoch,best_map50,best_map50_epoch,best_map50_95,best_map50_95_epoch
deg10_sc0p3_mo0_hsvs0p7,ok,models/grid_search_v11_aug/best_deg10_sc0p3_mo0_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg10_sc0p3_mo0_hsvs0p7,0.85661,120,0.45116,120,0.63872,120,0.31601,88
deg10_sc0p2_mo0p5_hsvs0p7,ok,models/grid_search_v11_aug/best_deg10_sc0p2_mo0p5_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg10_sc0p2_mo0p5_hsvs0p7,0.86642,88,0.48598,84,0.61425,88,0.31425,88
deg5_sc0p2_mo0_hsvs0p3,ok,models/grid_search_v11_aug/best_deg5_sc0p2_mo0_hsvs0p3.pt,outputs/yolo11_grid_search/runs/deg5_sc0p2_mo0_hsvs0p3,0.86647,160,0.41951,160,0.61956,160,0.31393,164
deg10_sc0p4_mo0_hsvs0p7,ok,models/grid_search_v11_aug/best_deg10_sc0p4_mo0_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg10_sc0p4_mo0_hsvs0p7,0.85976,164,0.39254,108,0.60643,164,0.30981,164
deg10_sc0p2_mo1_hsvs0p7,ok,models/grid_search_v11_aug/best_deg10_sc0p2_mo1_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg10_sc0p2_mo1_hsvs0p7,0.78681,54,0.37206,104,0.57462,54,0.30667,54
deg5_sc0p2_mo1_hsvs0p7,ok,models/grid_search_v11_aug/best_deg5_sc0p2_mo1_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg5_sc0p2_mo1_hsvs0p7,0.81778,112,0.41893,124,0.58226,112,0.30564,112
deg10_sc0p3_mo0p5_hsvs0p5,ok,models/grid_search_v11_aug/best_deg10_sc0p3_mo0p5_hsvs0p5.pt,outputs/yolo11_grid_search/runs/deg10_sc0p3_mo0p5_hsvs0p5,0.83479,88,0.38629,112,0.56557,88,0.30539,108
deg5_sc0p4_mo0_hsvs0p3,ok,models/grid_search_v11_aug/best_deg5_sc0p4_mo0_hsvs0p3.pt,outputs/yolo11_grid_search/runs/deg5_sc0p4_mo0_hsvs0p3,0.89652,120,0.40246,108,0.63299,120,0.30282,75
deg0_sc0p3_mo0p5_hsvs0p7,ok,models/grid_search_v11_aug/best_deg0_sc0p3_mo0p5_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg0_sc0p3_mo0p5_hsvs0p7,0.83749,124,0.45747,124,0.62721,124,0.30242,128
deg10_sc0p4_mo1_hsvs0p7,ok,models/grid_search_v11_aug/best_deg10_sc0p4_mo1_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg10_sc0p4_mo1_hsvs0p7,0.75294,140,0.56897,100,0.58588,104,0.30123,140
deg10_sc0p2_mo0p5_hsvs0p5,ok,models/grid_search_v11_aug/best_deg10_sc0p2_mo0p5_hsvs0p5.pt,outputs/yolo11_grid_search/runs/deg10_sc0p2_mo0p5_hsvs0p5,0.83117,72,0.59940,78,0.64743,120,0.30101,72
deg10_sc0p3_mo1_hsvs0p7,ok,models/grid_search_v11_aug/best_deg10_sc0p3_mo1_hsvs0p7.pt,outputs/yolo11_grid_search/runs/deg10_sc0p3_mo1_hsvs0p7,0.82926,100,0.52907,96,0.61926,96,0.30055,96
